"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"80","meanGW","0.296162276246032","0.0133044117120006","0.660759284188444","NaN","NaN","NaN","NaN","NaN","boral","Juncus_pallidus"
"81","intercept","-0.204730984140256","-1.0548230011153","0.397459130105966","0.566380590318917","-2.76646250052168","-2.28295740686636","-2.20925152000123","-1.45365262498432","boral","Lepidosperma_gladiatum"
"82","meanGW","0.314440853613451","-0.0829360773306045","0.570180514712614","NaN","NaN","NaN","NaN","NaN","boral","Lepidosperma_gladiatum"
"83","intercept","0.91872733052251","0.171076125636209","1.52049185083837","0.494752262167072","0.538519151145411","0.406484689216412","0.797730711369045","0.286120237533625","boral","Lepidosperma_longitudinale"
"84","meanGW","0.140223289403572","-0.126310233494555","0.416682755114505","NaN","NaN","NaN","NaN","NaN","boral","Lepidosperma_longitudinale"
"85","intercept","1.31847307402873","0.379715114835137","1.9864332956879","0.570559636850334","0.432742729517358","0.282298601586889","0.679043703982034","0.230168852851598","boral","Melaleuca_rhaphiophylla"
"86","meanGW","0.113366814191832","-0.184026692268534","0.283100054819527","NaN","NaN","NaN","NaN","NaN","boral","Melaleuca_rhaphiophylla"
"87","intercept","-1.48580870839425","-2.31701782093872","-0.23396405621451","0.77312232164812","-0.520337724015396","-0.325962613712834","-0.816569409363581","-0.273397579081675","boral","Myoporum_caprarioides"
"88","meanGW","0.270882868606426","-0.0448276827366549","0.641842334881182","NaN","NaN","NaN","NaN","NaN","boral","Myoporum_caprarioides"
"89","intercept","-0.215357462948491","-1.72702452639478","0.822657608039175","0.943952819547842","-4.38319065717084","-2.47691120045179","-2.81930053243211","-2.27861183733722","boral","Opercularia_hispida"
"90","meanGW","0.364869922063454","0.219697104149382","0.635489843711936","NaN","NaN","NaN","NaN","NaN","boral","Opercularia_hispida"
"91","intercept","-2.255108347373","-3.69990639251803","-0.341256489171465","1.19670620967264","-0.530664617984629","-0.338034459561698","-0.831109757680049","-0.284515094845495","boral","Patersonia_occidentalis"
"92","meanGW","0.342155253701433","-0.0098760091771234","0.596097783556907","NaN","NaN","NaN","NaN","NaN","boral","Patersonia_occidentalis"
"93","intercept","-2.84194753883184","-4.63725414298398","-1.80094845409514","0.979774066647483","-0.344754452100201","-0.220619101963339","-0.440543093529801","-0.178194464069461","boral","Podotheca_sp_"
"94","meanGW","0.344421326681856","-0.0322353827973973","0.652830607344665","NaN","NaN","NaN","NaN","NaN","boral","Podotheca_sp_"
